,company_name,industry_group,company_code,CIN code,industry_type,Defaulter,PAT/CE,PAT/sales,PBIT/sales,Cash Profits/TA,CR,QR,CFO/Debt,cash/CL,NWC/sales,INTCOV,Debt/Equity,cash/COS,NWC_cycle,Debtor_days,Creditor_days,RM_cycle,WIP_cycle,FG_cycle,NWC/TA,RE/TA,PBIR/TA,sales/TA,MVE/BVD
0,A A Autotech Pvt. Ltd.,Other automobile ancillaries,406281,U34200DL2006PTC146147,1,0,0.100935925,0.022416936,0.035016469,0.127354936,1.332522124,1.109955752,,0.00199115,0.041891849,2.95,7.122417751,0.000303838,131,41.19,43.3,8.81,5.53,1.79,0.123398644,0.082422758,0.103146194,2.945648078,
1,A B B Global Inds. & Services Pvt. Ltd.,ITES,383624,U72200KA2001PTC032179,1,0,0.218910185,0.090337761,0.139664462,0.166270173,1.409133873,1.388754409,0.075199248,,0.013236049,44.59,0.918150051,,172.7,102.79,162.47,,,1.93,0.018506612,0.499560642,0.19527851,1.398197561,
2,A B B India Ltd.,Diversified machinery,21420,L32202KA1949PLC032923,1,0,0.127269421,0.076245183,0.132414612,0.074657403,1.479584457,1.301116758,0.120257412,0.019267241,0.354120962,7.85,1.297877384,0.016204176,23728.3,148.3,174.46,66.24,19.58,6.99,0.257682989,0.424066036,0.096354062,0.727669404,1.05
3,A B M Knowledgeware Ltd.,Computer software,415,L67190MH1993PLC113638,1,0,0.099854458,0.245488488,0.364654636,,6.633041688,6.165208441,,0.015440041,1.597853143,,,0.006896552,1027.1,207.51,81.37,,,,,,,,1.8
4,A C C Ltd.,Cement,23354,L26940MH1936PLC002515,1,0,0.143111575,0.103091803,0.136872068,,1.399502524,1.043229569,,0.020885507,0.07809052,19.38,,0.007398864,11412.5,19.86,108.01,145.13,11.93,12.06,,,,,1.09
5,A D F Foods Ltd.,Processed foods,783,L15400GJ1990PLC014265,1,0,0.144701861,0.152301004,0.219957028,,5.791428571,4.295428571,,0.004,0.350871933,52.07,,0.000453133,702.2,74.99,39.53,15.98,42.67,9.25,,,,,1.03
6,A I A Engineering Ltd.,Castings & forgings,1120,L29259GJ1991PLC015182,1,0,0.125585056,0.146187434,0.213582653,0.137368598,8.498491559,7.029494833,0.45428379,0.000160472,0.772296209,100.19,0.102826161,2.14811E-05,21914.6,103.55,22.79,38.54,29.82,15.08,0.625663075,0.825490633,0.173030474,0.810133557,0.99
7,A L P Nishikawa Co. Pvt. Ltd.,Rubber products,14687,U25190DL1983PTC017070,1,0,0.10737396,0.052882258,0.079183302,0.149136415,1.139172367,0.824380397,,0.004710104,0.033130209,6.88,1.146043724,0.001597383,94.6,65.19,67.77,34.91,13.81,7.35,0.048919226,0.32573172,0.116920054,1.47657462,
8,A P L Apollo Tubes Ltd.,Steel pipes & tubes,35548,L74899DL1986PLC023443,1,0,0.07262374,0.02153713,0.030033382,0.077987872,0.992783905,0.494939219,0.17754169,8.05041E-05,0.000645824,2.72,1.495336284,1.94985E-05,37.9,23.96,32.42,22.58,,19.3,0.001507108,0.306726315,0.07008649,2.333619644,0.84
9,A S I Industries Ltd.,Minerals,23482,L14101MH1945PLC256122,1,0,0.06521145,0.105481269,0.153000332,0.076135826,1.341652685,1.133389262,0.093758778,0.001153523,0.129406564,4.64,1.112075967,0.000720886,234.2,167.43,96.02,187.7,35.64,28.51,0.069273545,0.463884288,0.081903691,0.535317085,0.4
10,A S K Automotive Pvt. Ltd.,Other automobile ancillaries,2791,U34300DL1988PTC030342,1,0,0.156877527,0.072023032,0.11324198,0.166827476,1.176316006,0.879444855,0.521685382,0.009772522,0.034981042,15.7,0.625746702,0.002102622,444.7,46.77,41.83,12.41,7.23,8.34,0.05877688,0.602109465,0.190274786,1.680249541,
11,A S R Multimetals Pvt. Ltd.,Steel,372310,U27109DL2004PTC130197,1,0,-0.000764292,-0.001931248,0.037466203,,,,,0.007378259,-0.068752414,0.58,,0.006031363,-17.8,35.95,88.86,66.63,28.82,65.15,,,,,
12,A S T Telecom Solar Pvt. Ltd.,Other ferrous metal products,464656,U74900DL2013PTC248470,1,0,-0.028419958,-0.050846197,-0.063120699,0.04853408,2.692054434,,0.141458326,,0.479858657,0.21,1.24707314,,1290.1,34.35,,,,,0.240915033,-0.140392157,-0.031690009,0.502054155,
14,A V Thomas & Co. Ltd.,Tea,3340,U51109KL1935PLC000024,1,0,0.108158445,0.028094064,0.04271336,0.092919428,2.673076923,1.05483774,0.101404267,0.001051683,0.117662328,25,0.348288187,8.60882E-05,997.2,15.93,25.51,54.07,,19.1,0.347820021,0.740041856,0.126264388,2.956086502,
15,A V Thomas Leather & Allied Products Pvt. Ltd.,Other leather & related products,3345,U18209TN1977PTC007377,1,0,0.04504709,0.017998005,0.021488802,,,,,0.000926999,0.014325868,1.13,,0.00018997,31.6,20.2,48.76,167.43,28.58,20.69,,,,,
18,Aarti Drugs Ltd.,Drugs & pharmaceuticals,3990,L37060MH1984PLC055433,1,0,0.087982335,0.060003438,0.088678013,0.106991165,1.342552531,0.926885372,0.197540632,0.006115705,0.100519168,4.3,1.43797605,0.002598108,1461.8,100.78,86.77,39.49,22.82,20.88,0.115620378,0.391525812,0.102000301,1.150232142,0.72
19,Aarti Industries Ltd.,Other chemical products,3998,L24110GJ1984PLC007301,1,0,0.09769247,0.105825132,0.131111639,0.117661279,1.338542164,0.966757901,0.260054734,0.000212172,0.112472185,4.29,1.051698215,0.000106186,5115.1,60.57,36.35,41.19,23,23.7,0.097362971,0.338500544,0.113498451,0.865662664,0.89
20,Acer Granito Pvt. Ltd.,Ceramic products,383772,U26914GJ2008PTC053525,1,0,0.031695721,0.016107923,0.022752441,0.099776501,1.259043532,0.744635193,0.129354508,0.000919681,0.077217356,1.65,1.654237288,0.000320034,76.7,78.58,40.94,29.96,0.55,45.09,0.122445722,0.162994891,0.036079183,1.585727969,
21,Action Construction Equipment Ltd.,Mining & construction equipment,369475,L74899HR1995PLC053860,1,0,0.11451409,0.041800954,0.064926945,0.087464532,1.15542044,0.605717982,0.170053097,0.001267788,0.024808152,8.28,0.956049906,0.000387569,333.3,42.81,85.21,45.71,5.68,11.06,0.038443793,0.378786131,0.100613624,1.54964359,0.96
22,Adani Green Energy (U P) Ltd.,Renewable electricity,543531,U40106GJ2015PLC083925,1,0,-0.082312864,-0.579213612,-0.753449069,-0.007761084,0.097489253,0.096737264,0.031453603,,-4.642389055,,-69.64390631,,-8075.9,46.49,612.41,108.68,,,-0.467047203,-0.058549337,-0.075800687,0.100604925,
23,Aditya Auto Products & Engg. (India) Pvt. Ltd.,Other automobile ancillaries,311516,U35204KA1996PTC020766,1,0,0.013001967,0.009986365,0.008364963,0.047836722,0.790325547,0.429587395,,,-0.1287541,1.44,2.357883398,,-349.4,53.89,35.94,70.75,29.07,7.21,-0.140101849,0.252255503,0.009102209,1.08813505,
25,Aditya Birla Fashion & Retail Ltd.,Retail trading,374960,L18101MH2007PLC233901,1,0,0.102569179,0.039570224,0.019674244,0.063716683,0.806710142,0.348439818,0.107330956,0.004388831,-0.131917583,1.81,3.43904043,0.002360666,-10708.7,30.55,174.86,75.77,2.63,103.72,-0.168770646,-0.017055627,0.025170525,1.279364299,0.91
26,Aditya Birla Renewables Ltd.,Renewable electricity,528940,U40300MH2015PLC267263,1,0,0.013573712,0.183687943,0.255319149,0.02932139,2.682,,0.129183956,,0.589361702,1.62,0.603959569,,83.1,,33.69,,,,0.043278996,0.004687256,0.018749023,0.073433675,
27,Advanced Enzyme Technologies Ltd.,Other chemical products,6819,L24200MH1989PLC051018,1,0,0.104001889,0.158674411,0.212841641,0.118310398,2.268915021,0.968271578,0.756629598,0.000665631,0.24048809,22.21,0.14636284,0.000169128,534.1,63.13,65.81,118.57,54.56,19.06,0.145833333,0.603565968,0.12906837,0.606405636,0.99
28,Aerobok Shoe Pvt. Ltd.,Footwear,7145,U74899HR1994PTC073472,1,0,0.036093418,0.013472324,0.020848574,0.064252713,1.161867704,0.647859922,0.181957399,0.001750973,0.050292612,1.78,3.381826742,0.00057398,82.5,69.82,85.2,61.63,18.93,9.38,0.088642957,0.112710863,0.036746535,1.762544321,
